PSM,TrainStation,University,Airport,Departmentstore,Hospital,Subdistrict,District,TotalUnits,BuildingAge,CarPark,CCTV,Fitness,Library,Swimmingpool,Security,MiniMart,ElectricalSubStation
96729.25,1.536896235,1.5,3.5,0.4,0.3,Anusawari,Bangkhen,490,7,0,1,1,0,0,0,0,0
69287.5,1.536896235,0.5,2.9,0.8,0.9,Khlong Thanon,Sai Mai,275,6,0,1,1,1,1,1,0,0
78162.33333,0.3,1.3,3.8,0.6,0.8,Bang Khen,Bang Khen,231,6,0,1,1,1,0,0,0,0
81112.6,0.4,1,3.2,0.2,0.1,Anusawari,Bang Khen,465,7,1,1,1,0,0,0,0,0
71154,0.3,3.2,16.4,0.2,2.2,Phra Khanong,Khlong Toei,136,15,0,1,1,0,1,1,0,0
76786,0.2,2.1,15,2,1.876157941,Bang Chak,Phra Khanong,580,11,0,1,1,0,1,1,1,0
129216,0.4,3.2,16.4,0.3,2.2,Bang Chak,Phra Khanong,154,3,0,1,1,1,0,1,0,0
91228,0.3,3.1,16.2,0.3,2.3,Bang Chak,Phra Khanong,93,12,0,1,1,1,1,1,0,0
96318,0.6,4.5,16.32907429,0.8,1.6,Phet Kasem,Bang Khae,79,7,0,1,1,0,1,1,0,0
85106,0.6,0.7,13.5,0.8,1.7,Hua Mak,Bang Phlat,482,1,0,1,1,0,0,0,0,0
63636,0.8,2,14,1.4,0.5,Hua Mak,Bang Kapi,242,7,0,1,1,0,0,1,1,0
52222,0.4,1.2,15.8,1.2,0.7,Khlong Chan,Bang Kapi,370,12,0,1,1,0,1,1,0,0
56737.5,0.2,1.1,14.9,0.5,0.3,Khlong Chan,Bang Kapi,270,7,1,1,1,0,1,1,0,0
35427,0.2,1.1,15,0.5,0.3,Khlong Chan,Bang Kapi,192,26,0,1,0,0,0,1,0,0
99201.625,0.7,1.6,16.8,2.8,0.3,Hua Mak,Bang Kapi,639,5,1,1,1,0,0,1,0,0
68881.66667,1.536896235,1.9,15,0.9,0.3,Hua Mak,Bang Kapi,535,11,1,1,1,0,1,1,0,0
78793.28571,0.8,1.4,16.9,2.9,0.5,Hua Mak,Bang Kapi,923,12,0,1,1,0,1,1,1,0
74583,1.536896235,0.4,16.3,1.726724437,1.3,Hua Mak,Bang Kapi,254,1,0,1,1,0,0,1,0,0
73871,0.7,1.9,13.2,1.4,1.2,Khwaeng Hua Mak,Bang Kapi,470,16,0,1,1,0,1,1,0,0
45361,0.6,2.209948409,13.8,1.726724437,1.876157941,Khlong Chan,Bang Kapi,471,14,1,1,1,0,1,1,0,0
40562,0.6,0.9,15.4,0.9,0.2,Khlong Chan,Bang Kapi,751,14,1,1,0,0,0,1,0,0
40860.66667,0.4,0.9,15.2,0.7,0.1,Khlong Chan,Bang Kapi,856,21,0,1,0,0,0,1,0,0
100683.2857,1,1.4,16.8,3,0.6,Hua Mak,Bang Kapi,996,6,1,1,1,0,1,1,0,0
46550.25,0.3,1,13.6,0.8,1.4,Hua Mak,Bang Kapi,592,15,0,1,1,0,0,0,0,0
52679.33333,1.536896235,0.5,15.3,1.3,1.1,Khlong Chan,Bang Kapi,470,18,1,1,0,0,0,1,0,0
